138,Offensive D,Offensive D
139,ÖkoLinX,ÖkoLinX
140,PdB,PdB
141,POP,POP
142,PsMD,PsMD
143,RSB,RSB
144,Soziale Mitte,Soziale Mitte
145,SSW,SSW
146,STATT Partei,STATT Partei
147,UAP,UAP
148,Unabhängige Bürgerpolitik,Unabhängige Bürgerpolitik
149,UNABHÄNGIGE,UNABHÄNGIGE
150,VOLKSENTSCHEID EINFÜHREN!,VOLKSENTSCHEID EINFÜHREN!
151,Westfalenpartei,Westfalenpartei
152,Willi-Weise-Projekt,Willi-Weise-Projekt
153,WNA,WNA
154,Zukunft für uns,Zukunft für uns
155,Mieterpartei,Mieterpartei
156,FREIER HORIZONT,FREIER HORIZONT
157,Die Achtsamen,Die Achtsamen
158,PARTEILOSE WG „BRD“,PARTEILOSE WG „BRD“
159,Ab jetzt...Demokratie durch Volksabstimmung,Ab jetzt...Demokratie durch Volksabstimmung
160,Z.SH,Z.SH
161,Aufbruch C,Aufbruch C
162,BGE,BGE
163,DBD,DBD
164,JED,JED
165,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung
166,Schöner leben,Schöner leben
167,Tierschutz hier!,Aktion Partei für Tierschutz
168,V-Partei³,V-Partei³
169,Allianz Deutscher Demokraten,Allianz Deutscher Demokraten
170,Sozialistische Gleichheitspartei,Sozialistische Gleichheitspartei
171,Magdeburger Gartenpartei,Magdeburger Gartenpartei
172,VIP,VIP
173,Unsere Zukunft,Unsere Zukunft
174,DiB,DEMOKRATIE IN BEWEGUNG
175,BdG,BdG
176,Das Haus Deutschland,Das Haus Deutschland
177,Deutsche Gerechtigkeits Partei,Deutsche Gerechtigkeits Partei
178,du.,du.
179,Partei der Humanisten,Partei der Humanisten
180,Die Urbane,Die Urbane
181,Bürger für Mecklenburg-Vorpommern,Bürger für Mecklenburg-Vorpommern
182,Die blaue Partei,Die blaue Partei
183,Partei mut,Partei mut
184,Nichtparteigebundene Einwohner Vertreter,Nichtparteigebundene Einwohner Vertreter
185,parteilos,parteilos
186,Die Grauen,Die Grauen
187,Der III. Weg,Der dritte Weg
188,Arbeitnehmer und Rentner Union,Arbeitnehmer und Rentner Union
189,Demokratie in Europa,Demokratie in Europa
190,Partei für die Tiere,Partei für die Tiere
191,LigaPLUS,LigaPLUS
192,UTOPIO,UTOPIO
193,Volt,Volt
194,LIEBE,LIEBE
195,Demokratie DIREKT!,Demokratie DIREKT!
196,WIR,WIR
197,Aufbruch deutscher Patrioten - Mitteldeutschland,Aufbruch deutscher Patrioten - Mitteldeutschland
198,Die Friedenspartei,Die Friedenspartei
199,Sozialliberale demokratische Partei,Sozialliberale demokratische Partei
200,Klimaliste,Klimaliste
201,dieBasis,dieBasis
202,WIR2020,Volt
203,Eine für alle,Eine für alle
204,Fraktionslos,Fraktionslos
205,Gartenpartei Magdeburg,Gartenpartei Magdeburg
206,Freie Bürger Mitteldeutschland,Freie Bürger Mitteldeutschland
207,Freiparlamentarische Allianz,Freiparlamentarische Allianz
208,Team Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei
209,THP,Thüringer Heimatpartei
210,DIE SONSTIGEN,DIE SONSTIGEN
211,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel
212,Bürger für Thüringen,Bürger für Thüringen
213,LfK,Lobbyisten für Kinder
214,Z.,Zukunft
215,MSP,Moderne Soziale Partei
216,DIE HAIE,DIE HAIE
217,"Solidarität, Gerechtigkeit, Veränderung","Solidarität, Gerechtigkeit, Veränderung"
218,Bildet Berlin!,Bildet Berlin!
219,Die neuen Demokraten,Die neuen Demokraten
220,Bündnis Deutschland,Bündnis Deutschland
221,GFA,Grundeinkommen für Alle
222,MERA25,MERA25
223,LiV,Leben im Viertel e.V.
224,Bürgerliste Weiterdenken,Bürgerliste Weiterdenken
225,SGV Partei,"SGV – Solidarität, Gerechtigkeit, Veränderung"
226,ABG,Aktion Bürger für Gerechtigkeit (ABG)
227,Praktiker Partei,Praktiker Partei (PP)
228,Wählergruppe Solidaritätsbewegung,Wählergruppe Solidaritätsbewegung (Solibew)
229,BSW,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit
230,WerteUnion,WerteUnion
231,Die Heimat,Die Heimat
232,DAVA,Demokratische Allianz für Vielfalt und Aufbruch (DAVA)
233,PdF,Partei des Fortschritts
234,LETZTE GENERATION,Parlament aufmischen – Stimme der Letzten Generation
235,Team Zastrow,Team Zastrow - Bündnis Sachsen 24
236,WIR sind LEIPZIGER,WIR sind LEIPZIGER
237,UBV,UBV - Unabhängige Bürger Vertretung Saale Orla Kreis
238,Plus Brandenburg,Plus Brandenburg
239,DLW,Deutsch Land Wirtschaft
240,Demokraten Brandenburg,Demokraten Brandenburg
